Initializing ESC
Initializing function queue scheduling
Time(ms),RPM,Command
Plug battery into motors, then send any serial command
8927,558,10
9927,1110,10
10928,1131,10
11929,1189,15
12930,1276,15
13930,1320,15
14931,1247,20
15932,1247,20
16933,1276,20
17934,1247,25
18935,1350,25
19936,1305,25
20936,1350,30
21938,1044,30
22938,1230,30
23940,812,35
24940,1200,35
25940,1140,35
26942,1131,40
27942,1140,40
28944,1160,40
29944,1140,45
30946,1247,45
31946,1200,45
32947,1131,50
33948,1160,50
34949,1160,50
35950,1160,55
36951,1218,55
37951,1290,55
38952,1131,60
39953,1160,60
40954,1160,60
41955,1363,65
42956,1131,65
43957,1102,65
44957,1920,70
45959,2494,70
46959,2100,70
47961,3393,75
48961,3630,75
49963,3810,75
50963,2670,80
51963,1020,80
52965,899,80
53965,1320,85
54967,3335,85
55967,3540,85
56969,3335,90
57969,5160,90
58970,5626,90
59971,6815,95
60972,6931,95
61973,6902,95
62973,7410,100
63974,6873,100
64975,6931,100
65976,7163,105
66977,7221,105
67978,7192,105
68979,87,110
69980,116,110
70981,90,110
71982,261,115
72982,240,115
73984,232,115
74984,240,120
75985,232,120
76986,203,120
77986,240,125
78988,203,125
79988,180,125
80990,203,130
81990,180,130
82991,174,130
83992,174,135
84993,174,135
85994,174,135
86994,150,140
87996,145,140
88996,180,140
89997,145,145
90998,145,145
91999,116,145
93000,145,150
94001,116,150
95001,150,150
96003,116,155
97003,150,155
98004,116,155
99005,116,150
100006,120,150
101007,116,150
102007,60,145
103009,29,145
104009,60,145
105011,7250,140
106011,7500,140
107013,7250,140
108013,7290,135
109015,7018,135
110015,7260,135
111016,6757,130
112017,6699,130
113018,6728,130
114019,6525,125
115020,6496,125
116021,6496,125
117022,6351,120
118023,6293,120
119024,6322,120
120025,6032,115
121026,6003,115
122027,6003,115
123028,5858,110
124028,6000,110
125030,5829,110
126031,5626,105
127032,5597,105
128032,5820,105
129034,5423,100
130035,5394,100
131036,5423,100
132037,5278,95
133038,5249,95
134038,5430,95
135040,5075,90
136040,5160,90
137041,5017,90
138042,4785,85
139043,4785,85
140044,4756,85
141045,4582,80
142046,4553,80
143047,4553,80
144048,4321,75
145049,4321,75
146050,4292,75
147051,4089,70
148051,4200,70
149052,4031,70
150053,3857,65
151054,3799,65
152055,3799,65
153056,3538,60
154057,3509,60
155058,3480,60
156059,3219,55
157060,3161,55
158061,3161,55
159062,2842,50
160063,2784,50
161063,2880,50
162065,2436,45
163065,2370,45
164066,2291,45
165067,1885,40
166068,1653,40
167069,1653,40
168070,1334,35
169071,1160,35
170072,1131,35
171073,667,30
172073,90,30
173074,0,30
174075,0,25
175076,0,25
176076,0,25
177078,0,20
178078,0,20
179079,0,20
