Time(ms)	RPM	Command
		
22408	0	25
23409	0	25
24410	0	25
25410	900	30
26411	638	30
27412	435	30
28412	1020	35
29414	1334	35
30414	1440	35
31415	2001	40
32416	2262	40
33417	2233	40
34418	2755	45
35419	2900	45
36419	3000	45
37421	3364	50
38421	3570	50
39422	3451	50
40423	3799	55
41424	3857	55
42425	3857	55
43425	4290	60
44427	4205	60
45427	4350	60
46429	4495	65
47429	4740	65
48430	4553	65
49431	4901	70
50432	5220	70
51433	4959	70
52433	5400	75
53435	5278	75
54435	5520	75
55436	5423	80
56437	5539	80
57438	5539	80
58439	5858	85
59440	5800	85
60440	5970	85
61442	6061	90
62442	6570	90
63443	1218	90
64444	6467	95
65445	6690	95
66446	6554	95
67446	690	100
68448	87	100
69448	7620	100
70450	7366	105
71450	7500	105
72451	7192	105
73452	7221	100
74452	7080	100
75454	232	100
76454	6720	95
77456	6438	95
78456	6660	95
79458	6119	90
80458	6270	90
81459	6061	90
82460	5800	85
83461	5771	85
84462	5742	85
85463	5510	80
86463	5640	80
87464	5481	80
88465	5394	75
89466	5249	75
90467	5278	75
91468	4988	70
92469	4959	70
93469	5100	70
94471	4640	65
95471	4740	65
96473	4582	65
97473	4410	60
98473	4380	60
99475	4234	60
100475	4050	55
101477	3828	55
102477	3990	55
103479	3538	50
104479	3570	50
105481	3451	50
106481	3150	45
107482	2900	45
108483	2871	45
109484	2465	40
110485	2291	40
111485	2370	40
112487	1711	35
113487	1470	35
114489	1363	35
115489	960	30
116491	522	30
117491	420	30
118492	116	25
119493	0	25
120494	0	25
