
Roll   Pitch  Yaw
+0.000 +0.000 +0.000
+0.000 +0.000 +0.000
+4.323 +1.429 +0.046
+4.323 +1.429 +0.046
+4.323 +1.429 +0.046
+4.323 +1.429 +0.046
+4.323 +1.429 +0.046
+4.783 +1.484 +0.237
+4.783 +1.484 +0.237
+4.783 +1.484 +0.237
+4.783 +1.484 +0.237
+4.783 +1.484 +0.237
+4.868 +1.188 -1.916
+4.868 +1.188 -1.916
+4.868 +1.188 -1.916
+4.868 +1.188 -1.916
+4.868 +1.188 -1.916
+4.758 +1.226 -0.435
+4.758 +1.226 -0.435
+4.758 +1.226 -0.435
+4.758 +1.226 -0.435
+4.758 +1.226 -0.435
+4.392 +0.949 +0.229
+4.392 +0.949 +0.229
+4.392 +0.949 +0.229
+4.392 +0.949 +0.229
+4.392 +0.949 +0.229
+4.052 +2.332 -4.496
+4.052 +2.332 -4.496
+4.052 +2.332 -4.496
+4.052 +2.332 -4.496
+4.052 +2.332 -4.496
+4.052 -2.496 -4.771
+4.052 -2.496 -4.771
+4.052 -2.496 -4.771
+4.052 -2.496 -4.771
+4.052 -2.496 -4.771
+4.546 -9.697 -8.511
+4.546 -9.697 -8.511
+4.546 -9.697 -8.511
+4.546 -9.697 -8.511
+4.546 -9.697 -8.511
+4.221 -16.069 -7.779
+4.221 -16.069 -7.779
+4.221 -16.069 -7.779
+4.221 -16.069 -7.779
+4.221 -16.069 -7.779
+4.347 -24.097 -2.031
+4.347 -24.097 -2.031
+4.347 -24.097 -2.031
+4.347 -24.097 -2.031
+4.347 -24.097 -2.031
+5.519 -30.627 -0.947
+5.519 -30.627 -0.947
+5.519 -30.627 -0.947
+5.519 -30.627 -0.947
+5.519 -30.627 -0.947
+5.173 -34.809 +1.603
+5.173 -34.809 +1.603
+5.173 -34.809 +1.603
+5.173 -34.809 +1.603
+5.173 -34.809 +1.603
+6.082 -43.470 -4.618
+6.082 -43.470 -4.618
+6.082 -43.470 -4.618
+6.082 -43.470 -4.618
+6.082 -43.470 -4.618
+5.031 -50.630 -12.901
+5.031 -50.630 -12.901
+5.031 -50.630 -12.901
+5.031 -50.630 -12.901
+5.031 -50.630 -12.901
+4.825 -60.291 -6.206
+4.825 -60.291 -6.206
+4.825 -60.291 -6.206
+4.825 -60.291 -6.206
+4.825 -60.291 -6.206
+5.837 -69.636 -5.939
+5.837 -69.636 -5.939
+5.837 -69.636 -5.939
+5.837 -69.636 -5.939
+5.837 -69.636 -5.939
+0.366 -75.252 +0.198
+0.366 -75.252 +0.198
+0.366 -75.252 +0.198
+0.366 -75.252 +0.198
+0.366 -75.252 +0.198
+47.827 -86.125 -10.611
+47.827 -86.125 -10.611
+47.827 -86.125 -10.611
+47.827 -86.125 -10.611
+47.827 -86.125 -10.611
+0.931 -82.615 -28.863
+0.931 -82.615 -28.863
+0.931 -82.615 -28.863
+0.931 -82.615 -28.863
+0.931 -82.615 -28.863
+11.404 -75.534 -4.557
+11.404 -75.534 -4.557
+11.404 -75.534 -4.557
+11.404 -75.534 -4.557
+11.404 -75.534 -4.557
+2.135 -64.225 -7.748
+2.135 -64.225 -7.748
+2.135 -64.225 -7.748
+2.135 -64.225 -7.748
+2.135 -64.225 -7.748
+0.018 -57.277 -4.992
+0.018 -57.277 -4.992
+0.018 -57.277 -4.992
+0.018 -57.277 -4.992
+0.018 -57.277 -4.992
-1.410 -46.146 +12.023
-1.410 -46.146 +12.023
-1.410 -46.146 +12.023
-1.410 -46.146 +12.023
-1.410 -46.146 +12.023
+1.714 -40.303 +0.916
+1.714 -40.303 +0.916
+1.714 -40.303 +0.916
+1.714 -40.303 +0.916
+1.714 -40.303 +0.916
+2.055 -32.181 +12.908
+2.055 -32.181 +12.908
+2.055 -32.181 +12.908
+2.055 -32.181 +12.908
+2.055 -32.181 +12.908
-2.650 -24.372 +14.458
-2.650 -24.372 +14.458
-2.650 -24.372 +14.458
-2.650 -24.372 +14.458
-2.650 -24.372 +14.458
+0.290 -17.171 +7.099
+0.290 -17.171 +7.099
+0.290 -17.171 +7.099
+0.290 -17.171 +7.099
+0.290 -17.171 +7.099
-2.130 -12.980 +0.802
-2.130 -12.980 +0.802
-2.130 -12.980 +0.802
-2.130 -12.980 +0.802
-2.130 -12.980 +0.802
-3.173 -6.708 -0.450
-3.173 -6.708 -0.450
-3.173 -6.708 -0.450
-3.173 -6.708 -0.450
-3.173 -6.708 -0.450
-3.314 -2.032 +2.160
-3.314 -2.032 +2.160
-3.314 -2.032 +2.160
-3.314 -2.032 +2.160
-3.314 -2.032 +2.160
-3.133 -0.422 +2.733
-3.133 -0.422 +2.733
-3.133 -0.422 +2.733
-3.133 -0.422 +2.733
-3.133 -0.422 +2.733
-2.721 +0.408 -5.153
-2.721 +0.408 -5.153
-2.721 +0.408 -5.153
-2.721 +0.408 -5.153
-2.721 +0.408 -5.153
-4.631 -6.719 +0.305
-4.631 -6.719 +0.305
-4.631 -6.719 +0.305
-4.631 -6.719 +0.305
-4.631 -6.719 +0.305
-2.477 -13.597 +16.336
-2.477 -13.597 +16.336
-2.477 -13.597 +16.336
-2.477 -13.597 +16.336
-2.477 -13.597 +16.336
-0.132 -31.100 +30.435
-0.132 -31.100 +30.435
-0.132 -31.100 +30.435
-0.132 -31.100 +30.435
-0.132 -31.100 +30.435
-1.695 -47.080 +23.313
-1.695 -47.080 +23.313
-1.695 -47.080 +23.313
-1.695 -47.080 +23.313
-1.695 -47.080 +23.313
+10.296 -52.876 -1.031
+10.296 -52.876 -1.031
+10.296 -52.876 -1.031
+10.296 -52.876 -1.031
+10.296 -52.876 -1.031
-0.186 -61.980 -6.527
-0.186 -61.980 -6.527
-0.186 -61.980 -6.527
-0.186 -61.980 -6.527
-0.186 -61.980 -6.527
+7.656 -81.872 -13.855
+7.656 -81.872 -13.855
+7.656 -81.872 -13.855
+7.656 -81.872 -13.855
+7.656 -81.872 -13.855
+2.038 -85.166 +8.771
+2.038 -85.166 +8.771
+2.038 -85.166 +8.771
+2.038 -85.166 +8.771
+2.038 -85.166 +8.771
-1.888 -77.589 +7.443
-1.888 -77.589 +7.443
-1.888 -77.589 +7.443
-1.888 -77.589 +7.443
-1.888 -77.589 +7.443
+3.139 -70.334 +11.626
+3.139 -70.334 +11.626
+3.139 -70.334 +11.626
+3.139 -70.334 +11.626
+3.139 -70.334 +11.626
+3.506 -61.394 +12.092
+3.506 -61.394 +12.092
+3.506 -61.394 +12.092
+3.506 -61.394 +12.092
+3.506 -61.394 +12.092
+5.358 -53.646 +8.504
+5.358 -53.646 +8.504
+5.358 -53.646 +8.504
+5.358 -53.646 +8.504
+5.358 -53.646 +8.504
+5.745 -45.517 +9.260
+5.745 -45.517 +9.260
+5.745 -45.517 +9.260
+5.745 -45.517 +9.260
+5.745 -45.517 +9.260
+3.796 -36.119 +6.763
+3.796 -36.119 +6.763
+3.796 -36.119 +6.763
+3.796 -36.119 +6.763
+3.796 -36.119 +6.763
+4.364 -25.953 +4.290
+4.364 -25.953 +4.290
+4.364 -25.953 +4.290
+4.364 -25.953 +4.290
+4.364 -25.953 +4.290
+3.558 -18.762 +5.573
+3.558 -18.762 +5.573
+3.558 -18.762 +5.573
+3.558 -18.762 +5.573
+3.558 -18.762 +5.573
+4.588 -11.039 +6.511
+4.588 -11.039 +6.511
+4.588 -11.039 +6.511
+4.588 -11.039 +6.511
+4.588 -11.039 +6.511
+5.205 -7.013 +6.962
+5.205 -7.013 +6.962
+5.205 -7.013 +6.962
+5.205 -7.013 +6.962
+5.205 -7.013 +6.962
+5.439 -4.624 +1.427
+5.439 -4.624 +1.427
+5.439 -4.624 +1.427
+5.439 -4.624 +1.427
+5.439 -4.624 +1.427
+2.562 -0.377 -4.794
+2.562 -0.377 -4.794
+2.562 -0.377 -4.794
+2.562 -0.377 -4.794
+2.562 -0.377 -4.794
+3.885 +1.508 -1.695
+3.885 +1.508 -1.695
+3.885 +1.508 -1.695
+3.885 +1.508 -1.695
+3.885 +1.508 -1.695
+3.942 +4.170 +6.565
+3.942 +4.170 +6.565
+3.942 +4.170 +6.565
+3.942 +4.170 +6.565
+3.942 +4.170 +6.565
+4.014 +12.777 +13.550
+4.014 +12.777 +13.550
+4.014 +12.777 +13.550
+4.014 +12.777 +13.550
+4.014 +12.777 +13.550
+7.687 +22.910 +9.061
+7.687 +22.910 +9.061
+7.687 +22.910 +9.061
+7.687 +22.910 +9.061
+7.687 +22.910 +9.061
+4.395 +32.633 +13.931
+4.395 +32.633 +13.931
+4.395 +32.633 +13.931
+4.395 +32.633 +13.931
+4.395 +32.633 +13.931
+4.785 +44.881 +14.672
+4.785 +44.881 +14.672
+4.785 +44.881 +14.672
+4.785 +44.881 +14.672
+4.785 +44.881 +14.672
+4.671 +55.955 +4.092
+4.671 +55.955 +4.092
+4.671 +55.955 +4.092
+4.671 +55.955 +4.092
+4.671 +55.955 +4.092
+0.230 +58.568 -0.603
+0.230 +58.568 -0.603
+0.230 +58.568 -0.603
+0.230 +58.568 -0.603
+0.230 +58.568 -0.603
+4.461 +67.704 +2.679
+4.461 +67.704 +2.679
+4.461 +67.704 +2.679
+4.461 +67.704 +2.679
+4.461 +67.704 +2.679
+6.997 +75.589 +10.878
+6.997 +75.589 +10.878
+6.997 +75.589 +10.878
+6.997 +75.589 +10.878
+6.997 +75.589 +10.878
+9.632 +89.653 +21.328
+9.632 +89.653 +21.328
+9.632 +89.653 +21.328
+9.632 +89.653 +21.328
+9.632 +89.653 +21.328
+37.919 +86.346 +10.450
+37.919 +86.346 +10.450
+37.919 +86.346 +10.450
+37.919 +86.346 +10.450
+37.919 +86.346 +10.450
-1.261 +82.048 +2.809
-1.261 +82.048 +2.809
-1.261 +82.048 +2.809
-1.261 +82.048 +2.809
-1.261 +82.048 +2.809
+10.413 +67.584 +2.985
+10.413 +67.584 +2.985
+10.413 +67.584 +2.985
+10.413 +67.584 +2.985
+10.413 +67.584 +2.985
-5.213 +59.023 +8.229
-5.213 +59.023 +8.229
-5.213 +59.023 +8.229
-5.213 +59.023 +8.229
-5.213 +59.023 +8.229
-1.660 +54.628 +9.618
-1.660 +54.628 +9.618
-1.660 +54.628 +9.618
-1.660 +54.628 +9.618
-1.660 +54.628 +9.618
-2.958 +40.605 +13.695
-2.958 +40.605 +13.695
-2.958 +40.605 +13.695
-2.958 +40.605 +13.695
-2.958 +40.605 +13.695
-4.148 +36.072 +10.382
-4.148 +36.072 +10.382
-4.148 +36.072 +10.382
-4.148 +36.072 +10.382
-4.148 +36.072 +10.382
-1.890 +26.358 +10.214
-1.890 +26.358 +10.214
-1.890 +26.358 +10.214
-1.890 +26.358 +10.214
-1.890 +26.358 +10.214
-3.399 +17.667 +6.511
-3.399 +17.667 +6.511
-3.399 +17.667 +6.511
-3.399 +17.667 +6.511
-3.399 +17.667 +6.511
-4.772 +11.855 +13.214
-4.772 +11.855 +13.214
-4.772 +11.855 +13.214
-4.772 +11.855 +13.214
-4.772 +11.855 +13.214
-6.059 +7.477 +10.244
-6.059 +7.477 +10.244
-6.059 +7.477 +10.244
-6.059 +7.477 +10.244
-6.059 +7.477 +10.244
-4.604 +2.774 -4.916
-4.604 +2.774 -4.916
-4.604 +2.774 -4.916
-4.604 +2.774 -4.916
-4.604 +2.774 -4.916
-4.795 +14.224 -8.168
-4.795 +14.224 -8.168
-4.795 +14.224 -8.168
-4.795 +14.224 -8.168
-4.795 +14.224 -8.168
-3.382 +18.153 -5.756
-3.382 +18.153 -5.756
-3.382 +18.153 -5.756
-3.382 +18.153 -5.756
-3.382 +18.153 -5.756
-3.561 +21.925 -7.237
-3.561 +21.925 -7.237
-3.561 +21.925 -7.237
-3.561 +21.925 -7.237
-3.561 +21.925 -7.237
-3.333 +33.383 -4.695
-3.333 +33.383 -4.695
-3.333 +33.383 -4.695
-3.333 +33.383 -4.695
-3.333 +33.383 -4.695
-3.363 +40.398 -10.260
-3.363 +40.398 -10.260
-3.363 +40.398 -10.260
-3.363 +40.398 -10.260
-3.363 +40.398 -10.260
-1.960 +48.399 +1.481
-1.960 +48.399 +1.481
-1.960 +48.399 +1.481
-1.960 +48.399 +1.481
-1.960 +48.399 +1.481
-3.851 +55.647 -4.206
-3.851 +55.647 -4.206
-3.851 +55.647 -4.206
-3.851 +55.647 -4.206
-3.851 +55.647 -4.206
-2.980 +62.944 -5.672
-2.980 +62.944 -5.672
-2.980 +62.944 -5.672
-2.980 +62.944 -5.672
-2.980 +62.944 -5.672
-8.927 +70.676 -15.519
-8.927 +70.676 -15.519
-8.927 +70.676 -15.519
-8.927 +70.676 -15.519
-8.927 +70.676 -15.519
-2.734 +83.737 -10.817
-2.734 +83.737 -10.817
-2.734 +83.737 -10.817
-2.734 +83.737 -10.817
-2.734 +83.737 -10.817
+4.151 +84.704 -20.229
+4.151 +84.704 -20.229
+4.151 +84.704 -20.229
+4.151 +84.704 -20.229
+4.151 +84.704 -20.229
+7.740 +68.563 -16.573
+7.740 +68.563 -16.573
+7.740 +68.563 -16.573
+7.740 +68.563 -16.573
+7.740 +68.563 -16.573
+4.600 +56.956 -22.664
+4.600 +56.956 -22.664
+4.600 +56.956 -22.664
+4.600 +56.956 -22.664
+4.600 +56.956 -22.664
+5.599 +43.909 -15.847
+5.599 +43.909 -15.847
+5.599 +43.909 -15.847
+5.599 +43.909 -15.847
+5.599 +43.909 -15.847
+4.259 +30.018 -21.344
+4.259 +30.018 -21.344
+4.259 +30.018 -21.344
+4.259 +30.018 -21.344
+4.259 +30.018 -21.344
+8.371 +24.416 -0.313
+8.371 +24.416 -0.313
+8.371 +24.416 -0.313
+8.371 +24.416 -0.313
+8.371 +24.416 -0.313
+6.718 +15.096 -1.557
+6.718 +15.096 -1.557
+6.718 +15.096 -1.557
+6.718 +15.096 -1.557
+6.718 +15.096 -1.557
+5.886 +14.708 +0.840
+5.886 +14.708 +0.840
+5.886 +14.708 +0.840
+5.886 +14.708 +0.840
+5.886 +14.708 +0.840
+5.122 +6.866 -6.702
+5.122 +6.866 -6.702
+5.122 +6.866 -6.702
+5.122 +6.866 -6.702
+5.122 +6.866 -6.702
+5.581 +7.193 -1.855
+5.581 +7.193 -1.855
+5.581 +7.193 -1.855
+5.581 +7.193 -1.855
+5.581 +7.193 -1.855
+2.939 +1.593 +5.863
+2.939 +1.593 +5.863
+2.939 +1.593 +5.863
+2.939 +1.593 +5.863
+2.939 +1.593 +5.863
+1.141 -0.363 -1.420
+1.141 -0.363 -1.420
+1.141 -0.363 -1.420
+1.141 -0.363 -1.420
+1.141 -0.363 -1.420
-9.742 -0.500 +2.748
-9.742 -0.500 +2.748
-9.742 -0.500 +2.748
-9.742 -0.500 +2.748
-9.742 -0.500 +2.748
-12.707 -1.572 +0.527
-12.707 -1.572 +0.527
-12.707 -1.572 +0.527
-12.707 -1.572 +0.527
-12.707 -1.572 +0.527
-31.757 -1.285 -12.435
-31.757 -1.285 -12.435
-31.757 -1.285 -12.435
-31.757 -1.285 -12.435
-31.757 -1.285 -12.435
-40.770 +2.411 -13.023
-40.770 +2.411 -13.023
-40.770 +2.411 -13.023
-40.770 +2.411 -13.023
-40.770 +2.411 -13.023
-50.450 +3.223 -0.901
-50.450 +3.223 -0.901
-50.450 +3.223 -0.901
-50.450 +3.223 -0.901
-50.450 +3.223 -0.901
-85.888 +2.310 -4.046
-85.888 +2.310 -4.046
-85.888 +2.310 -4.046
-85.888 +2.310 -4.046
-85.888 +2.310 -4.046
-84.337 +0.209 -0.168
-84.337 +0.209 -0.168
-84.337 +0.209 -0.168
-84.337 +0.209 -0.168
-84.337 +0.209 -0.168
-89.032 +1.741 -2.443
-89.032 +1.741 -2.443
-89.032 +1.741 -2.443
-89.032 +1.741 -2.443
-89.032 +1.741 -2.443
-75.156 +1.291 -5.489
-75.156 +1.291 -5.489
-75.156 +1.291 -5.489
-75.156 +1.291 -5.489
