JHU RTSW HW1
Tony Florida
2014-09-16
Waiting for temperature to stabilize...
Waiting for temperature to stabilize...
Waiting for temperature to stabilize...
Waiting for temperature to stabilize...
Waiting for temperature to stabilize...
Waiting for temperature to stabilize...
Temperature is: 22.12
Temperature is: 22.06
Temperature is: 22.06
Temperature is: 22.06
Temperature is: 22.06
Temperature is: 22.00
Temperature is: 22.06
Temperature is: 22.12
Temperature is: 22.19
Temperature is: 22.19
Temperature is: 22.19
Temperature is: 22.19
Temperature is: 22.19
Temperature is: 22.19
Temperature is: 22.19
Temperature is: 22.19
Temperature is: 22.19
Temperature is: 22.25
Temperature is: 22.25
Temperature is: 22.25
Temperature is: 22.25
Temperature is: 22.31
Temperature is: 22.25
Temperature is: 22.25
Temperature is: 22.25
Temperature is: 22.25
Temperature is: 22.19
Temperature is: 22.25
Temperature is: 22.25
Temperature is: 21.56
Temperature is: 20.44
Temperature is: 19.44
Temperature is: 18.31
Temperature is: 17.56
Temperature is: 17.12
Temperature is: 16.56
Temperature is: 16.00
Temperature is: 15.63
Temperature is: 15.31
Temperature is: 15.06
Temperature is: 14.81
Temperature is: 14.50
Temperature is: 14.13
Temperature is: 14.00
Temperature is: 13.81
Temperature is: 13.75
Temperature is: 13.50
Temperature is: 13.31
Temperature is: 13.13
Temperature is: 12.94
Temperature is: 12.75
Temperature is: 12.63
Temperature is: 12.50
Temperature is: 12.38
Temperature is: 12.25
Temperature is: 12.25
Temperature is: 12.06
Temperature is: 12.06
Temperature is: 12.00
Temperature is: 13.00
Temperature is: 14.25
Temperature is: 14.94
Temperature is: 15.56
Temperature is: 16.06
Temperature is: 16.50
Temperature is: 16.75
Temperature is: 17.00
Temperature is: 17.31
Temperature is: 17.69
Temperature is: 17.81
Temperature is: 17.94
Temperature is: 18.19
Temperature is: 18.25
Temperature is: 18.44
Temperature is: 18.44
Temperature is: 18.62
Temperature is: 18.62
Temperature is: 18.69
Temperature is: 18.75
Temperature is: 18.87
Temperature is: 19.00
Temperature is: 19.00
Temperature is: 19.12
Temperature is: 19.19
Temperature is: 19.31
Temperature is: 19.37
Temperature is: 19.37
Temperature is: 19.44
